Date,AAPL,AUTO.L,MU,NVDA,OCDO.L,SGE.L,TSM
2024-12-30,250.59889221191406,788.2456665039062,84.98255920410156,137.2849578857422,294.20001220703125,1284.4970703125,196.70953369140625
2024-12-31,248.8302001953125,792.8447875976562,83.83695983886719,134.08973693847656,302.29998779296875,1272.501708984375,193.86280822753906
2025-01-02,242.30191040039062,794.679443359375,86.99480438232422,138.1037139892578,315.20001220703125,1278.4993896484375,197.87770080566406
2025-01-03,241.8150177001953,793.2797241210938,89.52505493164062,144.2545623779297,323.6000061035156,1277.99951171875,204.77857971191406
2025-01-06,243.4446258544922,787.2806396484375,98.8790054321289,149.2071533203125,308.0,1290.4947509765625,215.9691925048828
2025-01-07,240.67233276367188,796.0792846679688,101.51883697509766,139.93099975585938,297.6000061035156,1299.990966796875,207.53695678710938
2025-01-08,241.1592254638672,787.8805541992188,99.02843475341797,139.90106201171875,290.5,1306.4884033203125,203.31594848632812
2025-01-09,241.1592254638672,781.08154296875,99.02843475341797,139.90106201171875,279.0,1298.125732421875,203.31594848632812
2025-01-10,235.34634399414062,774.0825805664062,98.95869445800781,135.7073211669922,278.6000061035156,1279.1312255859375,204.54298400878906
2025-01-13,232.91189575195312,764.0841674804688,94.69512939453125,133.03131103515625,270.0,1272.13330078125,197.66172790527344
2025-01-14,231.79901123046875,768.8834228515625,96.9863052368164,131.56350708007812,295.70001220703125,1273.133056640625,197.7500762939453
2025-01-15,236.35989379882812,780.6815795898438,102.7939224243164,136.03683471679688,316.29998779296875,1288.628662109375,203.0018310546875
2025-01-16,226.81089782714844,795.8792724609375,102.2061767578125,133.3708038330078,324.29998779296875,1306.12353515625,210.84506225585938
2025-01-17,228.5199737548828,793.4796752929688,105.3440933227539,137.504638671875,325.0,1315.6207275390625,207.61550903320312
2025-01-20,228.5199737548828,784.2810668945312,105.3440933227539,137.504638671875,327.1000061035156,1321.119140625,207.61550903320312
2025-01-21,221.2265625,790.8800659179688,108.96015930175781,140.61996459960938,330.6000061035156,1321.6190185546875,214.68325805664062
2025-01-22,222.40902709960938,776.0823364257812,108.81074523925781,146.85067749023438,328.6000061035156,1332.615966796875,219.10061645507812
2025-01-23,222.24008178710938,778.8818969726562,104.43758392333984,147.00047302246094,313.1000061035156,1336.1148681640625,220.49453735351562
2025-01-24,221.36569213867188,769.8832397460938,102.7939224243164,142.4073028564453,303.1000061035156,1329.61669921875,217.80487060546875
2025-01-27,228.40074157714844,773.8826293945312,90.76028442382812,118.24340057373047,304.20001220703125,1325.1180419921875,188.7779541015625
2025-01-28,236.7473907470703,781.4814453125,87.91126251220703,128.79763793945312,305.5,1327.117431640625,198.68263244628906
2025-01-29,237.8404083251953,782.8812866210938,88.66835021972656,123.51553344726562,300.3999938964844,1336.1148681640625,198.61392211914062
2025-01-30,236.08168029785156,794.8794555664062,92.14495086669922,124.464111328125,304.20001220703125,1328.6170654296875,204.32701110839844
2025-01-31,234.50173950195312,790.2801513671875,90.88978576660156,119.89094543457031,302.29998779296875,1347.6114501953125,205.47552490234375
2025-02-03,226.56246948242188,787.2806396484375,89.57485961914062,116.48603057861328,294.6000061035156,1334.6153564453125,196.13038635253906
